edo_num,edo,tm,anio,s,ts,ssm
7,Chiapas,4,2004,0.0258,2.58,0
7,Chiapas,1,2005,0.0251,2.51,0
7,Chiapas,2,2005,0.0482,4.82,0
7,Chiapas,3,2005,0.0606,6.06,0
7,Chiapas,4,2005,0.0451,4.51,0
7,Chiapas,1,2006,0.0572,5.72,0
7,Chiapas,2,2006,0.061,6.1,0
7,Chiapas,3,2006,0.0192,1.92,0
7,Chiapas,4,2006,0.0256,2.56,0
7,Chiapas,1,2007,0.0037,0.37,0
7,Chiapas,2,2007,0.003,0.3,0
7,Chiapas,3,2007,0.0066,0.66,0
7,Chiapas,4,2007,0.0133,1.33,0
7,Chiapas,1,2008,0.0392,3.92,0
7,Chiapas,2,2008,0.0128,1.28,0
7,Chiapas,3,2008,0.0122,1.22,0
7,Chiapas,4,2008,0.0351,3.51,0
7,Chiapas,1,2009,0.0476,4.76,0
7,Chiapas,2,2009,0.0698,6.98,0
7,Chiapas,3,2009,0.0386,3.86,0
7,Chiapas,4,2009,0.0472,4.72,0
7,Chiapas,1,2010,0.0132,1.32,0
7,Chiapas,2,2010,0.0322,3.22,0
7,Chiapas,3,2010,0,0,0
7,Chiapas,4,2010,0.0336,3.36,0
7,Chiapas,1,2011,0.1006,10.06,0
7,Chiapas,2,2011,0.064,6.4,0
7,Chiapas,3,2011,0.0844,8.44,0
7,Chiapas,4,2011,0.0704,7.04,0
7,Chiapas,1,2012,0.0456,4.56,0
7,Chiapas,2,2012,0.065,6.5,0
7,Chiapas,3,2012,0.0971,9.71,0
7,Chiapas,4,2012,0.081,8.1,0
7,Chiapas,1,2013,0.0921,9.21,0
7,Chiapas,2,2013,0.0873,8.73,0
7,Chiapas,3,2013,0.118,11.8,0
7,Chiapas,4,2013,0.0544,5.44,0
7,Chiapas,1,2014,0.1079,10.79,0
7,Chiapas,2,2014,0.095,9.5,0
7,Chiapas,3,2014,0.1091,10.91,0
7,Chiapas,4,2014,0.0985,9.85,0
7,Chiapas,1,2015,0.1093,10.93,0
7,Chiapas,2,2015,0.1006,10.06,0
7,Chiapas,3,2015,0.0896,8.96,0
7,Chiapas,4,2015,0.0922,9.22,0
7,Chiapas,1,2016,0.0938,9.38,0
7,Chiapas,2,2016,0.1061,10.61,0
7,Chiapas,3,2016,0.0564,5.64,0
7,Chiapas,4,2016,0.0828,8.28,0
7,Chiapas,1,2017,0.1003,10.03,0
7,Chiapas,2,2017,0.0613,6.13,0
7,Chiapas,3,2017,0.0935,9.35,0
7,Chiapas,4,2017,0.0818,8.18,0
7,Chiapas,1,2018,0.0322,3.22,0
7,Chiapas,2,2018,0.0318,3.18,0
7,Chiapas,3,2018,0.0456,4.56,0
7,Chiapas,4,2018,0.0359,3.59,0
7,Chiapas,1,2019,0.0526,5.26,0
7,Chiapas,2,2019,0.0651,6.51,0
7,Chiapas,3,2019,0.0515,5.15,0
7,Chiapas,4,2019,0.0802,8.02,0
7,Chiapas,1,2020,0.0547,5.47,0
7,Chiapas,2,2020,0.072,7.2,0
7,Chiapas,3,2020,0.0574,5.74,0
7,Chiapas,4,2020,0.0458,4.58,0
8,Chihuahua,1,2004,0.0551,5.51,0
8,Chihuahua,2,2004,0.0833,8.33,0
8,Chihuahua,3,2004,0.0769,7.69,0
8,Chihuahua,4,2004,0.0855,8.55,0
8,Chihuahua,1,2005,0.0734,7.34,0
8,Chihuahua,2,2005,0.1009,10.09,0
8,Chihuahua,3,2005,0.1244,12.44,0
8,Chihuahua,4,2005,0.0766,7.66,0
8,Chihuahua,1,2006,0.0892,8.92,0
8,Chihuahua,2,2006,0.0794,7.94,0
8,Chihuahua,3,2006,0.113,11.3,0
8,Chihuahua,4,2006,0.0528,5.28,0
8,Chihuahua,1,2007,0.0539,5.39,0
8,Chihuahua,2,2007,0.0891,8.91,0
8,Chihuahua,3,2007,0.0453,4.53,0
8,Chihuahua,4,2007,0.048,4.8,0
8,Chihuahua,1,2008,0.0498,4.98,0
